match_uid,is_win,num_vang,num_strat,num_duel,players_on_team,avg_hitrate,num_melee,num_hitscan,num_projectile,total_damage,total_healing,total_damage_taken,total_deaths,total_assists,total_kills,primary_attack_type
5513253_1745109951_1290157_11001_12,0,1,2,2,5,0.4628086593155086,1,0,4,57825.30117607117,55513.934629797935,85792.14651083946,15,13,7,projectile
5513253_1745109951_1290157_11001_12,1,1,2,2,5,0.5674188511626005,2,0,3,69716.59602165222,48465.91346216202,71129.02944946289,11,78,84,projectile
5513301_1744482159_1245204_11001_12,0,0,2,3,5,0.41882638891912,2,2,1,69990.18190515041,47060.33169126511,64012.90028429032,22,8,31,melee
5513301_1744482159_1245204_11001_12,1,1,3,0,4,0.380644686312349,2,0,2,39888.33063530922,53418.20908689499,60031.17087626457,9,59,41,melee
5513428_1744584249_1287070_11001_12,0,0,2,2,4,0.4669817922377416,3,0,1,11299.55653142929,16284.57614850998,12299.079895973206,12,14,15,melee
5513428_1744584249_1287070_11001_12,1,1,1,4,6,0.4024475795370508,5,0,1,35011.9037052989,14305.045397043228,37477.00825738907,13,24,60,melee
5514201_1744686784_1292357_11001_12,0,1,2,3,6,0.3921219452955363,1,1,4,113403.46722650528,57275.58850705624,124302.34530115128,26,44,59,projectile
5514201_1744686784_1292357_11001_12,1,2,2,2,6,0.4069849221356208,2,1,3,104577.16532802582,62219.43704605103,129941.01261270046,41,69,143,projectile
5514359_1744478852_1148082_11001_12,0,0,3,2,5,0.3487397407705586,3,0,2,39739.989295721054,33850.7379989624,35619.00045180321,14,62,48,melee
5514359_1744478852_1148082_11001_12,1,0,2,2,4,0.422162699437105,0,0,4,34474.06148648262,46220.00338459015,38912.60269641876,19,43,43,projectile
5517602_1744662520_1290198_11001_11,0,2,2,2,6,0.4649721337409443,1,1,4,167259.72888302803,75854.21744847298,139692.50019025803,38,71,111,projectile
5517602_1744662520_1290198_11001_11,1,1,3,1,5,0.5200482329746892,1,0,4,90705.67409467696,107942.46024227142,137961.81677532196,24,102,91,projectile
